roi_id,cell_label,cell_voxels,n_overlapping_markers,marker_label,overlap_voxels,overlap_fraction_of_cell,y_min,y_max,x_min,x_max
1,20,19333,4,22.0,909,0.04701805203537992,0,1944,0,2295
1,21,5003,1,26.0,1772,0.3541874875074955,0,1944,0,2295
1,22,9822,1,24.0,1061,0.10802280594583588,0,1944,0,2295
1,23,3640,0,,0,0.0,0,1944,0,2295
1,24,15307,1,40.0,1745,0.11400013065917554,0,1944,0,2295
1,25,12072,2,41.0,801,0.06635188866799205,0,1944,0,2295
1,25,12072,2,37.0,769,0.06370112657388999,0,1944,0,2295
1,26,2870,2,33.0,711,0.24773519163763066,0,1944,0,2295
1,26,2870,2,35.0,13,0.004529616724738676,0,1944,0,2295
1,27,2904,1,34.0,659,0.22692837465564739,0,1944,0,2295
1,28,1359,1,35.0,708,0.5209713024282561,0,1944,0,2295
1,29,5804,1,36.0,751,0.1293935217091661,0,1944,0,2295
1,30,8015,0,,0,0.0,0,1944,0,2295
1,31,3759,0,,0,0.0,0,1944,0,2295
1,32,1875,1,39.0,556,0.2965333333333333,0,1944,0,2295
1,33,1058,1,42.0,358,0.3383742911153119,0,1944,0,2295
1,34,1634,1,43.0,456,0.27906976744186046,0,1944,0,2295
1,35,7101,2,45.0,989,0.13927615828756512,0,1944,0,2295
1,35,7101,2,52.0,72,0.010139416983523447,0,1944,0,2295
1,36,7133,2,47.0,1048,0.14692275339969157,0,1944,0,2295
1,36,7133,2,51.0,192,0.026917145661012196,0,1944,0,2295
1,37,9685,1,44.0,1473,0.15209086215797626,0,1944,0,2295
1,38,13291,2,53.0,895,0.06733880069219773,0,1944,0,2295
1,38,13291,2,48.0,870,0.06545782860582348,0,1944,0,2295
1,39,5312,1,46.0,1261,0.2373870481927711,0,1944,0,2295
1,40,7697,2,49.0,1037,0.13472781603222034,0,1944,0,2295
1,40,7697,2,52.0,253,0.032869949330908144,0,1944,0,2295
1,41,6953,0,,0,0.0,0,1944,0,2295
1,42,11440,1,59.0,132,0.011538461538461539,0,1944,0,2295
1,43,2576,1,50.0,849,0.3295807453416149,0,1944,0,2295
1,44,4221,1,54.0,60,0.014214641080312722,0,1944,0,2295
1,45,687,0,,0,0.0,0,1944,0,2295
1,46,651,0,,0,0.0,0,1944,0,2295
1,47,6318,2,55.0,954,0.150997150997151,0,1944,0,2295
1,47,6318,2,52.0,35,0.005539727761949984,0,1944,0,2295
1,48,4693,2,60.0,812,0.173023652248029,0,1944,0,2295
1,48,4693,2,59.0,54,0.01150649904112508,0,1944,0,2295
1,49,896,0,,0,0.0,0,1944,0,2295
1,50,5833,2,58.0,1006,0.17246699811417796,0,1944,0,2295
1,50,5833,2,57.0,458,0.07851877250128579,0,1944,0,2295
1,51,427,0,,0,0.0,0,1944,0,2295
